feature	Condition1	Condition2	PercentChange	p	p.format
Absolute Abundance: Bacteroidetes	NF	OF	369.0% [79.1%, 1127.8%] **	0.002	0.002
Absolute Abundance: Actinobacteria	NF	OF	112.2% [-25.1%, 500.7%]	0.157	0.157
Absolute Abundance: Other Bacteria	NF	OF	210.1% [9.4%, 779.3%] *	0.033	0.033
Absolute Abundance: Viruses	NF	OF	102.8% [-20.0%, 414.4%]	0.136	0.136
Absolute Abundance: Fungi	NF	OF	181.6% [2.5%, 674.0%] *	0.045	0.045
Absolute Abundance: Unclassified + Root	NF	OF	195.8% [7.6%, 713.2%] *	0.036	0.036
Absolute Abundance: Unclassified	NF	OF	163.8% [-1.8%, 608.4%]	0.054	0.054
MicrobesPerGram	NF	ZF	-52.9% [-82.7%, 28.3%]	0.141	0.141
mean_16s_count	NF	ZF	-0.8% [-2.0%, 0.3%]	0.168	0.168
DNAConcentration	NF	ZF	-84.5% [-90.1%, -75.5%] ***	0	0
Absolute Abundance: Firmicutes	NF	ZF	-57.0% [-84.6%, 20.4%]	0.108	0.108
Absolute Abundance: Bacteroidetes	NF	ZF	-37.4% [-76.0%, 63.7%]	0.34	0.34
Absolute Abundance: Actinobacteria	NF	ZF	-65.6% [-86.7%, -10.9%] *	0.028	0.028
Absolute Abundance: Other Bacteria	NF	ZF	-52.5% [-83.6%, 37.4%]	0.17	0.17
Absolute Abundance: Viruses	NF	ZF	-51.2% [-80.7%, 23.7%]	0.131	0.131
Absolute Abundance: Fungi	NF	ZF	-56.3% [-84.0%, 19.1%]	0.106	0.106
Absolute Abundance: Unclassified + Root	NF	ZF	-55.0% [-83.1%, 20.4%]	0.112	0.112
Absolute Abundance: Unclassified	NF	ZF	-56.0% [-83.4%, 16.9%]	0.1	0.1
MicrobesPerGram	OF	OR	3.4% [-39.3%, 76.0%]	0.902	0.902
mean_16s_count	OF	OR	-0.1% [-0.8%, 0.6%]	0.814	0.814
DNAConcentration	OF	OR	40.8% [-0.7%, 99.7%]	0.055	0.055
Absolute Abundance: Firmicutes	OF	OR	2.0% [-41.9%, 79.0%]	0.945	0.945
Absolute Abundance: Bacteroidetes	OF	OR	4.8% [-36.2%, 72.2%]	0.854	0.854
Absolute Abundance: Actinobacteria	OF	OR	-12.7% [-51.7%, 58.0%]	0.655	0.655
Absolute Abundance: Other Bacteria	OF	OR	10.9% [-35.5%, 90.6%]	0.709	0.709
Absolute Abundance: Viruses	OF	OR	31.5% [-19.8%, 115.5%]	0.277	0.277
Absolute Abundance: Fungi	OF	OR	6.0% [-37.4%, 79.4%]	0.829	0.829
Absolute Abundance: Unclassified + Root	OF	OR	6.3% [-37.1%, 79.5%]	0.821	0.821
Absolute Abundance: Unclassified	OF	OR	6.5% [-37.0%, 80.0%]	0.814	0.814
MicrobesPerGram	OF	OH	45.4% [-36.5%, 232.6%]	0.376	0.376
mean_16s_count	OF	OH	1.3% [0.4%, 2.2%] **	0.003	0.003
DNAConcentration	OF	OH	21.8% [-26.7%, 102.5%]	0.446	0.446
Absolute Abundance: Firmicutes	OF	OH	52.0% [-35.7%, 259.7%]	0.34	0.34
Absolute Abundance: Bacteroidetes	OF	OH	40.8% [-37.5%, 217.6%]	0.409	0.409
Absolute Abundance: Actinobacteria	OF	OH	5.5% [-56.6%, 156.5%]	0.906	0.906
Absolute Abundance: Other Bacteria	OF	OH	53.0% [-33.9%, 254.2%]	0.321	0.321
Absolute Abundance: Viruses	OF	OH	126.0% [4.1%, 390.4%] *	0.039	0.039
Absolute Abundance: Fungi	OF	OH	51.3% [-35.5%, 254.7%]	0.341	0.341
Absolute Abundance: Unclassified + Root	OF	OH	50.5% [-33.4%, 240.4%]	0.326	0.326
Absolute Abundance: Unclassified	OF	OH	59.1% [-28.8%, 255.8%]	0.258	0.258
MicrobesPerGram	ZF	ZR	-47.5% [-72.5%, 0.1%] *	0.05	0.05
mean_16s_count	ZF	ZR	-1.4% [-2.4%, -0.4%] **	0.007	0.007
DNAConcentration	ZF	ZR	-41.7% [-55.3%, -24.0%] ***	0	0
Absolute Abundance: Firmicutes	ZF	ZR	-53.9% [-75.1%, -14.6%] *	0.014	0.014
Absolute Abundance: Bacteroidetes	ZF	ZR	-39.1% [-69.2%, 20.6%]	0.155	0.155
Absolute Abundance: Actinobacteria	ZF	ZR	-53.9% [-75.2%, -14.5%] *	0.014	0.014
Absolute Abundance: Other Bacteria	ZF	ZR	-42.0% [-70.6%, 14.5%]	0.116	0.116
Absolute Abundance: Viruses	ZF	ZR	-25.2% [-63.3%, 52.5%]	0.425	0.425
Absolute Abundance: Fungi	ZF	ZR	-47.5% [-71.9%, -1.9%] *	0.044	0.044
Absolute Abundance: Unclassified + Root	ZF	ZR	-44.7% [-71.1%, 6.1%]	0.075	0.075
Absolute Abundance: Unclassified	ZF	ZR	-45.6% [-71.5%, 3.8%]	0.065	0.065
MicrobesPerGram	ZF	ZH	-75.7% [-90.8%, -35.6%] **	0.004	0.004
mean_16s_count	ZF	ZH	-1.2% [-2.0%, -0.3%] **	0.005	0.005
DNAConcentration	ZF	ZH	-48.1% [-61.1%, -30.9%] ***	0	0
Absolute Abundance: Firmicutes	ZF	ZH	-79.9% [-92.5%, -46.5%] ***	0.001	0.001
Absolute Abundance: Bacteroidetes	ZF	ZH	-69.2% [-88.2%, -19.0%] *	0.017	0.017
Absolute Abundance: Actinobacteria	ZF	ZH	-84.7% [-94.4%, -58.3%] ***	0	0
Absolute Abundance: Other Bacteria	ZF	ZH	-69.8% [-88.3%, -22.0%] *	0.013	0.013
Absolute Abundance: Viruses	ZF	ZH	-59.0% [-84.2%, 6.4%]	0.067	0.067
Absolute Abundance: Fungi	ZF	ZH	-73.6% [-90.0%, -30.1%] **	0.007	0.007
Absolute Abundance: Unclassified + Root	ZF	ZH	-73.0% [-89.6%, -29.8%] **	0.007	0.007
Absolute Abundance: Unclassified	ZF	ZH	-73.5% [-89.9%, -30.8%] **	0.007	0.007
Bacteroidetes/Firmicutes	NF	OF	NA	0.001	0.001
Bacteroidetes/Firmicutes	NF	ZF	NA	0.001	0.001
Bacteroidetes/Firmicutes	OF	OR	NA	0.42	0.42
Bacteroidetes/Firmicutes	OF	OH	NA	0.69	0.69
Bacteroidetes/Firmicutes	ZF	ZR	NA	0.001	0.001
Bacteroidetes/Firmicutes	ZF	ZH	NA	0.001	0.001
