2022-01-19 12:04:07 INFO::Writing function arguments to log file
2022-01-19 12:04:07 DEBUG::Function arguments
2022-01-19 12:04:07 DEBUG::Output folder: /Users/maidvorak/scg4/projects/benchmark/Benchmarking/DNA/3.maaslin
2022-01-19 12:04:07 DEBUG::Min Abundance: 0.010000
2022-01-19 12:04:07 DEBUG::Min Prevalence: 0.100000
2022-01-19 12:04:07 DEBUG::Normalization: NONE
2022-01-19 12:04:07 DEBUG::Transform: NONE
2022-01-19 12:04:07 DEBUG::Analysis method: LM
2022-01-19 12:04:07 DEBUG::Max significance: 0.250000
2022-01-19 12:04:07 DEBUG::Random effects: Donor
2022-01-19 12:04:07 DEBUG::Fixed effects: Kit,Temperature
2022-01-19 12:04:07 DEBUG::Correction method: BH
2022-01-19 12:04:07 DEBUG::Standardize: FALSE
2022-01-19 12:04:07 DEBUG::Cores: 1
2022-01-19 12:04:07 INFO::Verifying options selected are valid
2022-01-19 12:04:07 INFO::Determining format of input files
2022-01-19 12:04:07 INFO::Input format is data samples as rows and metadata samples as rows
2022-01-19 12:04:07 DEBUG::The following samples were found to have features but no metadata. They will be removed. NCO.B2.R1,PCO.B1.R3,NCO.B3.R2,NCO.B4.R2,NCO.B3.R3,NCO.B2.R2,PCO.B1.R2,PCO.B4.R1,PCO.B2.R3,NCO.B4.R3,PCO.B3.R2,NCO.B4.R1,PCO.B2.R2,NCO.B2.R3,NCO.B1.R1,PCO.B4.R3,PCO.B4.R2,PCO.B1.R1,NCO.B1.R3,PCO.B3.R3,PCO.B3.R1,NCO.B3.R1,NCO.B1.R2,PCO.B2.R1
2022-01-19 12:04:07 DEBUG::A total of 210 samples were found in both the data and metadata
2022-01-19 12:04:07 DEBUG::Reordering data/metadata to use same sample ordering
2022-01-19 12:04:42 INFO::Creating boxplot for categorical data, Temperature vs Megamonas
2022-01-19 12:04:42 INFO::Creating boxplot for categorical data, Temperature vs Gemmiger
2022-01-19 12:04:43 INFO::Creating boxplot for categorical data, Temperature vs Enterococcus
2022-01-19 12:04:43 INFO::Creating boxplot for categorical data, Temperature vs Dielma
2022-01-19 12:04:43 INFO::Creating boxplot for categorical data, Temperature vs Coprococcus
2022-01-19 12:04:43 INFO::Creating boxplot for categorical data, Temperature vs Acinetobacter
2022-01-19 12:04:43 INFO::Creating boxplot for categorical data, Temperature vs unclassified.Lachnospiraceae
2022-01-19 12:04:43 INFO::Creating boxplot for categorical data, Temperature vs Guerin_crAss_Gamma
2022-01-19 12:04:44 INFO::Creating boxplot for categorical data, Temperature vs Erysipelotrichaceae..environmental.samples
2022-01-19 12:04:44 INFO::Creating boxplot for categorical data, Temperature vs Enterorhabdus
2022-01-19 12:04:44 INFO::Creating boxplot for categorical data, Temperature vs Turicibacter
2022-01-19 12:04:44 INFO::Creating boxplot for categorical data, Temperature vs Mitsuokella
2022-01-19 12:04:44 INFO::Creating boxplot for categorical data, Temperature vs unclassified.Bacteroidales..miscellaneous.
2022-01-19 12:04:44 INFO::Creating boxplot for categorical data, Temperature vs Dielma
2022-01-19 12:04:44 INFO::Creating boxplot for categorical data, Temperature vs Butyrivibrio
2022-01-19 12:04:45 INFO::Creating boxplot for categorical data, Temperature vs Coriobacteriaceae..environmental.samples
2022-01-19 12:04:45 INFO::Creating boxplot for categorical data, Temperature vs Carnobacterium
2022-01-19 12:04:46 INFO::Creating boxplot for categorical data, Temperature vs Roseburia
2022-01-19 12:04:46 INFO::Creating boxplot for categorical data, Temperature vs unclassified.Veillonellaceae
2022-01-19 12:04:46 INFO::Creating boxplot for categorical data, Temperature vs unclassified.Eggerthellales
2022-01-19 12:04:46 INFO::Creating boxplot for categorical data, Temperature vs Faecalitalea
2022-01-19 12:04:47 INFO::Creating boxplot for categorical data, Temperature vs Escherichia
2022-01-19 12:04:47 INFO::Creating boxplot for categorical data, Temperature vs unclassified.Clostridiaceae
2022-01-19 12:04:47 INFO::Creating boxplot for categorical data, Temperature vs Barnesiella
2022-01-19 12:04:47 INFO::Creating boxplot for categorical data, Temperature vs Eubacterium
2022-01-19 12:04:47 INFO::Creating boxplot for categorical data, Temperature vs Absiella
2022-01-19 12:04:48 INFO::Creating boxplot for categorical data, Temperature vs Shinella
2022-01-19 12:04:48 INFO::Creating boxplot for categorical data, Temperature vs Clostridium
2022-01-19 12:04:48 INFO::Creating boxplot for categorical data, Temperature vs unclassified.Erysipelotrichaceae
2022-01-19 12:04:48 INFO::Creating boxplot for categorical data, Temperature vs Parabacteroides
2022-01-19 12:04:48 INFO::Creating boxplot for categorical data, Temperature vs Megamonas
2022-01-19 12:04:48 INFO::Creating boxplot for categorical data, Temperature vs Butyrivibrio
2022-01-19 12:04:49 INFO::Creating boxplot for categorical data, Temperature vs Pseudomonas
2022-01-19 12:04:49 INFO::Creating boxplot for categorical data, Temperature vs Mediterranea
2022-01-19 12:04:49 INFO::Creating boxplot for categorical data, Temperature vs Christensenella
2022-01-19 12:04:49 INFO::Creating boxplot for categorical data, Temperature vs unclassified.Peptococcaceae
2022-01-19 12:04:49 INFO::Creating boxplot for categorical data, Temperature vs unclassified.Bacteroidales..miscellaneous.
2022-01-19 12:04:49 INFO::Creating boxplot for categorical data, Temperature vs Actinomyces
2022-01-19 12:04:50 INFO::Creating boxplot for categorical data, Temperature vs Raoultibacter
2022-01-19 12:04:50 INFO::Creating boxplot for categorical data, Temperature vs Paraprevotella
2022-01-19 12:04:50 INFO::Creating boxplot for categorical data, Temperature vs Carnobacterium
2022-01-19 12:04:50 INFO::Creating boxplot for categorical data, Temperature vs Parasutterella
2022-01-19 12:04:51 INFO::Creating boxplot for categorical data, Temperature vs Odoribacter
2022-01-19 12:04:51 INFO::Creating boxplot for categorical data, Temperature vs unclassified.Desulfovibrionaceae
2022-01-19 12:04:51 INFO::Creating boxplot for categorical data, Temperature vs Lachnoclostridium
2022-01-19 12:04:51 INFO::Creating boxplot for categorical data, Temperature vs Lactococcus
2022-01-19 12:04:52 INFO::Creating boxplot for categorical data, Temperature vs Coprobacillus
2022-01-19 12:04:52 INFO::Creating boxplot for categorical data, Temperature vs Desulfotomaculum
2022-01-19 12:04:52 INFO::Creating boxplot for categorical data, Temperature vs Barnesiella
2022-01-19 12:04:52 INFO::Creating boxplot for categorical data, Temperature vs Olsenella
2022-01-19 12:04:53 INFO::Creating boxplot for categorical data, Temperature vs Faecalibacterium
2022-01-19 12:04:53 INFO::Creating boxplot for categorical data, Temperature vs Sutterella
2022-01-19 12:04:56 INFO::Plotting data for metadata number 2, Kit
2022-01-19 12:04:56 INFO::Creating boxplot for categorical data, Kit vs Anaerotruncus
2022-01-19 12:04:56 INFO::Creating boxplot for categorical data, Kit vs Actinomyces
2022-01-19 12:04:56 INFO::Creating boxplot for categorical data, Kit vs Anaerotruncus
2022-01-19 12:04:56 INFO::Creating boxplot for categorical data, Kit vs Harryflintia
2022-01-19 12:04:56 INFO::Creating boxplot for categorical data, Kit vs Lachnoclostridium
2022-01-19 12:04:56 INFO::Creating boxplot for categorical data, Kit vs Enterorhabdus
2022-01-19 12:04:57 INFO::Creating boxplot for categorical data, Kit vs Hungatella
2022-01-19 12:04:57 INFO::Creating boxplot for categorical data, Kit vs Actinomyces
2022-01-19 12:04:57 INFO::Creating boxplot for categorical data, Kit vs Bilophila
2022-01-19 12:04:57 INFO::Creating boxplot for categorical data, Kit vs unclassified.Ruminococcaceae
2022-01-19 12:04:57 INFO::Creating boxplot for categorical data, Kit vs Christensenella
2022-01-19 12:04:57 INFO::Creating boxplot for categorical data, Kit vs Catabacter
2022-01-19 12:04:57 INFO::Creating boxplot for categorical data, Kit vs Pseudoflavonifractor
2022-01-19 12:04:58 INFO::Creating boxplot for categorical data, Kit vs Bacteroides
2022-01-19 12:04:58 INFO::Creating boxplot for categorical data, Kit vs Flavonifractor
2022-01-19 12:04:58 INFO::Creating boxplot for categorical data, Kit vs unclassified.Ruminococcaceae
2022-01-19 12:04:58 INFO::Creating boxplot for categorical data, Kit vs unclassified.Lachnospiraceae
2022-01-19 12:04:58 INFO::Creating boxplot for categorical data, Kit vs Streptomyces
2022-01-19 12:04:58 INFO::Creating boxplot for categorical data, Kit vs Faecalibacterium
2022-01-19 12:04:58 INFO::Creating boxplot for categorical data, Kit vs Bilophila
2022-01-19 12:04:59 INFO::Creating boxplot for categorical data, Kit vs Streptomyces
2022-01-19 12:04:59 INFO::Creating boxplot for categorical data, Kit vs Eisenbergiella
2022-01-19 12:04:59 INFO::Creating boxplot for categorical data, Kit vs Bittarella
2022-01-19 12:04:59 INFO::Creating boxplot for categorical data, Kit vs Phocea
2022-01-19 12:04:59 INFO::Creating boxplot for categorical data, Kit vs Anaerobutyricum
2022-01-19 12:04:59 INFO::Creating boxplot for categorical data, Kit vs Raoultibacter
2022-01-19 12:05:00 INFO::Creating boxplot for categorical data, Kit vs Desulfovibrio
2022-01-19 12:05:00 INFO::Creating boxplot for categorical data, Kit vs Paenibacillus
2022-01-19 12:05:00 INFO::Creating boxplot for categorical data, Kit vs Firmicutes..environmental.samples
2022-01-19 12:05:00 INFO::Creating boxplot for categorical data, Kit vs Christensenella
2022-01-19 12:05:00 INFO::Creating boxplot for categorical data, Kit vs Faecalibacterium
2022-01-19 12:05:00 INFO::Creating boxplot for categorical data, Kit vs Anaerostipes
2022-01-19 12:05:00 INFO::Creating boxplot for categorical data, Kit vs Monoglobus
2022-01-19 12:05:01 INFO::Creating boxplot for categorical data, Kit vs Dysosmobacter
2022-01-19 12:05:01 INFO::Creating boxplot for categorical data, Kit vs Desulfovibrio
2022-01-19 12:05:01 INFO::Creating boxplot for categorical data, Kit vs Tyzzerella
2022-01-19 12:05:01 INFO::Creating boxplot for categorical data, Kit vs Catabacter
2022-01-19 12:05:01 INFO::Creating boxplot for categorical data, Kit vs Harryflintia
2022-01-19 12:05:01 INFO::Creating boxplot for categorical data, Kit vs Subdoligranulum
2022-01-19 12:05:02 INFO::Creating boxplot for categorical data, Kit vs Dorea
2022-01-19 12:05:02 INFO::Creating boxplot for categorical data, Kit vs unclassified.Clostridiales..miscellaneous.
2022-01-19 12:05:02 INFO::Creating boxplot for categorical data, Kit vs Absiella
2022-01-19 12:05:02 INFO::Creating boxplot for categorical data, Kit vs Agathobaculum
2022-01-19 12:05:02 INFO::Creating boxplot for categorical data, Kit vs Paenibacillus
2022-01-19 12:05:02 INFO::Creating boxplot for categorical data, Kit vs Eggerthella
2022-01-19 12:05:02 INFO::Creating boxplot for categorical data, Kit vs unclassified.Lachnospiraceae
2022-01-19 12:05:03 INFO::Creating boxplot for categorical data, Kit vs Atopobium
2022-01-19 12:05:03 INFO::Creating boxplot for categorical data, Kit vs Bacteroides
2022-01-19 12:05:03 INFO::Creating boxplot for categorical data, Kit vs Eggerthella
2022-01-19 12:05:03 INFO::Creating boxplot for categorical data, Kit vs Coriobacteriaceae..environmental.samples
2022-01-19 12:05:03 INFO::Creating boxplot for categorical data, Kit vs Coprobacillus
2022-01-19 12:05:03 INFO::Creating boxplot for categorical data, Kit vs unclassified.Muribaculaceae
2022-01-19 12:05:04 INFO::Creating boxplot for categorical data, Kit vs Bacteroidales..environmental.samples
2022-01-19 12:05:04 INFO::Creating boxplot for categorical data, Kit vs Collinsella
2022-01-19 12:05:04 INFO::Creating boxplot for categorical data, Kit vs Holdemania
2022-01-19 12:05:04 INFO::Creating boxplot for categorical data, Kit vs Anaeromassilibacillus
2022-01-19 12:05:04 INFO::Creating boxplot for categorical data, Kit vs unclassified.Muribaculaceae
2022-01-19 12:05:04 INFO::Creating boxplot for categorical data, Kit vs Alistipes
2022-01-19 12:05:04 INFO::Creating boxplot for categorical data, Kit vs Gordonibacter
2022-01-19 12:05:05 INFO::Creating boxplot for categorical data, Kit vs unclassified.Coriobacteriaceae
2022-01-19 12:05:05 INFO::Creating boxplot for categorical data, Kit vs Collinsella
2022-01-19 12:05:05 INFO::Creating boxplot for categorical data, Kit vs Gemmiger
2022-01-19 12:05:05 INFO::Creating boxplot for categorical data, Kit vs Faecalicatena
2022-01-19 12:05:05 INFO::Creating boxplot for categorical data, Kit vs Bacteroidales..environmental.samples
2022-01-19 12:05:05 INFO::Creating boxplot for categorical data, Kit vs unclassified.Coriobacteriaceae
2022-01-19 12:05:05 INFO::Creating boxplot for categorical data, Kit vs Faecalicatena
2022-01-19 12:05:06 INFO::Creating boxplot for categorical data, Kit vs Clostridioides
2022-01-19 12:05:06 INFO::Creating boxplot for categorical data, Kit vs unclassified.Coriobacteriia
2022-01-19 12:05:06 INFO::Creating boxplot for categorical data, Kit vs unclassified.Prevotellaceae
2022-01-19 12:05:06 INFO::Creating boxplot for categorical data, Kit vs unclassified.Eubacteriaceae
2022-01-19 12:05:06 INFO::Creating boxplot for categorical data, Kit vs unclassified.Prevotellaceae
2022-01-19 12:05:06 INFO::Creating boxplot for categorical data, Kit vs Haemophilus
2022-01-19 12:05:07 INFO::Creating boxplot for categorical data, Kit vs Firmicutes..environmental.samples
2022-01-19 12:05:07 INFO::Creating boxplot for categorical data, Kit vs Bacillus
2022-01-19 12:05:07 INFO::Creating boxplot for categorical data, Kit vs Parabacteroides
2022-01-19 12:05:07 INFO::Creating boxplot for categorical data, Kit vs Lachnotalea
2022-01-19 12:05:07 INFO::Creating boxplot for categorical data, Kit vs Alistipes
2022-01-19 12:05:07 INFO::Creating boxplot for categorical data, Kit vs Streptococcus
2022-01-19 12:05:07 INFO::Creating boxplot for categorical data, Kit vs unclassified.Bacteroidales..miscellaneous.
2022-01-19 12:05:08 INFO::Creating boxplot for categorical data, Kit vs Lachnospiraceae..environmental.samples
2022-01-19 12:05:08 INFO::Creating boxplot for categorical data, Kit vs Lachnotalea
2022-01-19 12:05:08 INFO::Creating boxplot for categorical data, Kit vs Eisenbergiella
2022-01-19 12:05:08 INFO::Creating boxplot for categorical data, Kit vs Clostridioides
2022-01-19 12:05:08 INFO::Creating boxplot for categorical data, Kit vs unclassified.Bacteroidales..miscellaneous.
2022-01-19 12:05:08 INFO::Creating boxplot for categorical data, Kit vs Neglecta
2022-01-19 12:05:09 INFO::Creating boxplot for categorical data, Kit vs Parasutterella
2022-01-19 12:05:09 INFO::Creating boxplot for categorical data, Kit vs Paraprevotella
2022-01-19 12:05:09 INFO::Creating boxplot for categorical data, Kit vs unclassified.Peptococcaceae
2022-01-19 12:05:09 INFO::Creating boxplot for categorical data, Kit vs Selenomonas
2022-01-19 12:05:09 INFO::Creating boxplot for categorical data, Kit vs unclassified.Oscillospiraceae
2022-01-19 12:05:09 INFO::Creating boxplot for categorical data, Kit vs Eubacterium
2022-01-19 12:05:09 INFO::Creating boxplot for categorical data, Kit vs Coriobacteriaceae..environmental.samples
2022-01-19 12:05:10 INFO::Creating boxplot for categorical data, Kit vs Atopobium
2022-01-19 12:05:10 INFO::Creating boxplot for categorical data, Kit vs unclassified.Porphyromonadaceae
2022-01-19 12:05:10 INFO::Creating boxplot for categorical data, Kit vs Carnobacterium
2022-01-19 12:05:10 INFO::Creating boxplot for categorical data, Kit vs Lactococcus
2022-01-19 12:05:10 INFO::Creating boxplot for categorical data, Kit vs Odoribacter
2022-01-19 12:05:10 INFO::Creating boxplot for categorical data, Kit vs unclassified.Firmicutes.sensu.stricto..miscellaneous.
2022-01-19 12:05:11 INFO::Creating boxplot for categorical data, Kit vs Prevotellaceae..environmental.samples
2022-01-19 12:05:11 INFO::Creating boxplot for categorical data, Kit vs Neglecta
2022-01-19 12:05:11 INFO::Creating boxplot for categorical data, Kit vs Tyzzerella
2022-01-19 12:05:11 INFO::Creating boxplot for categorical data, Kit vs Parabacteroides
2022-01-19 12:05:11 INFO::Creating boxplot for categorical data, Kit vs Absiella
2022-01-19 12:05:11 INFO::Creating boxplot for categorical data, Kit vs Phascolarctobacterium
2022-01-19 12:05:11 INFO::Creating boxplot for categorical data, Kit vs Oscillibacter
2022-01-19 12:05:12 INFO::Creating boxplot for categorical data, Kit vs Dielma
2022-01-19 12:05:12 INFO::Creating boxplot for categorical data, Kit vs Dorea
2022-01-19 12:05:12 INFO::Creating boxplot for categorical data, Kit vs unclassified.Burkholderiales..miscellaneous.
2022-01-19 12:05:12 INFO::Creating boxplot for categorical data, Kit vs Raoultibacter
2022-01-19 12:05:12 INFO::Creating boxplot for categorical data, Kit vs Akkermansia
2022-01-19 12:05:12 INFO::Creating boxplot for categorical data, Kit vs Butyricimonas
2022-01-19 12:05:13 INFO::Creating boxplot for categorical data, Kit vs Desulfotomaculum
2022-01-19 12:05:13 INFO::Creating boxplot for categorical data, Kit vs Emergencia
2022-01-19 12:05:13 INFO::Creating boxplot for categorical data, Kit vs Megasphaera
2022-01-19 12:05:13 INFO::Creating boxplot for categorical data, Kit vs Phocea
2022-01-19 12:05:13 INFO::Creating boxplot for categorical data, Kit vs Enterococcus
2022-01-19 12:05:13 INFO::Creating boxplot for categorical data, Kit vs Lachnospiraceae..environmental.samples
2022-01-19 12:05:13 INFO::Creating boxplot for categorical data, Kit vs Dialister
2022-01-19 12:05:14 INFO::Creating boxplot for categorical data, Kit vs unclassified.Clostridiales..miscellaneous.
2022-01-19 12:05:14 INFO::Creating boxplot for categorical data, Kit vs Gordonibacter
2022-01-19 12:05:14 INFO::Creating boxplot for categorical data, Kit vs Anaerostipes
2022-01-19 12:05:14 INFO::Creating boxplot for categorical data, Kit vs crAss.like.viruses
2022-01-19 12:05:15 INFO::Creating boxplot for categorical data, Kit vs Prevotellaceae..environmental.samples
2022-01-19 12:05:15 INFO::Creating boxplot for categorical data, Kit vs Mediterranea
2022-01-19 12:05:15 INFO::Creating boxplot for categorical data, Kit vs Pseudoflavonifractor
2022-01-19 12:05:15 INFO::Creating boxplot for categorical data, Kit vs Parolsenella
2022-01-19 12:05:15 INFO::Creating boxplot for categorical data, Kit vs Lachnoclostridium
2022-01-19 12:05:16 INFO::Creating boxplot for categorical data, Kit vs Erysipelatoclostridium
2022-01-19 12:05:16 INFO::Creating boxplot for categorical data, Kit vs unclassified.Bacteroidaceae
2022-01-19 12:05:16 INFO::Creating boxplot for categorical data, Kit vs Agathobaculum
2022-01-19 12:05:16 INFO::Creating boxplot for categorical data, Kit vs unclassified.Coriobacteriia
2022-01-19 12:05:16 INFO::Creating boxplot for categorical data, Kit vs Prevotella
2022-01-19 12:05:17 INFO::Creating boxplot for categorical data, Kit vs Butyrivibrio
2022-01-19 12:05:17 INFO::Creating boxplot for categorical data, Kit vs Bifidobacterium
2022-01-19 12:05:17 INFO::Creating boxplot for categorical data, Kit vs Catenibacterium
2022-01-19 12:05:17 INFO::Creating boxplot for categorical data, Kit vs unclassified.Eubacteriaceae
2022-01-19 12:05:17 INFO::Creating boxplot for categorical data, Kit vs Paraprevotella
2022-01-19 12:05:17 INFO::Creating boxplot for categorical data, Kit vs unclassified.Eggerthellales
2022-01-19 12:05:18 INFO::Creating boxplot for categorical data, Kit vs Porphyromonas
2022-01-19 12:05:18 INFO::Creating boxplot for categorical data, Kit vs Acidaminococcus
2022-01-19 12:05:18 INFO::Creating boxplot for categorical data, Kit vs unclassified.Bacteroidaceae
2022-01-19 12:05:18 INFO::Creating boxplot for categorical data, Kit vs Hungatella
2022-01-19 12:05:18 INFO::Creating boxplot for categorical data, Kit vs Bittarella
2022-01-19 12:05:18 INFO::Creating boxplot for categorical data, Kit vs Desulfotomaculum
2022-01-19 12:05:19 INFO::Creating boxplot for categorical data, Kit vs Roseburia
2022-01-19 12:05:19 INFO::Creating boxplot for categorical data, Kit vs unclassified.Veillonellaceae
2022-01-19 12:05:19 INFO::Creating boxplot for categorical data, Kit vs Gemmiger
2022-01-19 12:05:19 INFO::Creating boxplot for categorical data, Kit vs Enterobacter
2022-01-19 12:05:19 INFO::Creating boxplot for categorical data, Kit vs Mitsuokella
2022-01-19 12:05:20 INFO::Creating boxplot for categorical data, Kit vs Akkermansia
2022-01-19 12:05:20 INFO::Creating boxplot for categorical data, Kit vs Enterobacter
2022-01-19 12:05:20 INFO::Creating boxplot for categorical data, Kit vs Mycoplasma
2022-01-19 12:05:20 INFO::Creating boxplot for categorical data, Kit vs Butyricicoccus
2022-01-19 12:05:20 INFO::Creating boxplot for categorical data, Kit vs Subdoligranulum
2022-01-19 12:05:20 INFO::Creating boxplot for categorical data, Kit vs Coprococcus
2022-01-19 12:05:21 INFO::Creating boxplot for categorical data, Kit vs Bacillus
2022-01-19 12:05:21 INFO::Creating boxplot for categorical data, Kit vs Dielma
2022-01-19 12:05:21 INFO::Creating boxplot for categorical data, Kit vs Erysipelatoclostridium
2022-01-19 12:05:21 INFO::Creating boxplot for categorical data, Kit vs Butyricimonas
2022-01-19 12:05:21 INFO::Creating boxplot for categorical data, Kit vs Odoribacter
2022-01-19 12:05:22 INFO::Creating boxplot for categorical data, Kit vs Intestinibacter
2022-01-19 12:05:22 INFO::Creating boxplot for categorical data, Kit vs Catenibacterium
2022-01-19 12:05:22 INFO::Creating boxplot for categorical data, Kit vs unclassified.Porphyromonadaceae
2022-01-19 12:05:22 INFO::Creating boxplot for categorical data, Kit vs Guerin_crAss_Delta
2022-01-19 12:05:22 INFO::Creating boxplot for categorical data, Kit vs Eubacterium
2022-01-19 12:05:23 INFO::Creating boxplot for categorical data, Kit vs Prevotella
2022-01-19 12:05:23 INFO::Creating boxplot for categorical data, Kit vs Veillonella
2022-01-19 12:05:23 INFO::Creating boxplot for categorical data, Kit vs Lachnospira
2022-01-19 12:05:23 INFO::Creating boxplot for categorical data, Kit vs Mycoplasma
2022-01-19 12:05:23 INFO::Creating boxplot for categorical data, Kit vs Porphyromonas
2022-01-19 12:05:24 INFO::Creating boxplot for categorical data, Kit vs Dialister
2022-01-19 12:05:24 INFO::Creating boxplot for categorical data, Kit vs Azospirillum
2022-01-19 12:05:24 INFO::Creating boxplot for categorical data, Kit vs Clostridiales..environmental.samples
2022-01-19 12:05:24 INFO::Creating boxplot for categorical data, Kit vs Azospirillum
2022-01-19 12:05:24 INFO::Creating boxplot for categorical data, Kit vs Anaerobutyricum
2022-01-19 12:05:25 INFO::Creating boxplot for categorical data, Kit vs Enterococcus
2022-01-19 12:05:25 INFO::Creating boxplot for categorical data, Kit vs Butyricicoccus
2022-01-19 12:05:25 INFO::Creating boxplot for categorical data, Kit vs unclassified.Lentisphaeria
2022-01-19 12:05:25 INFO::Creating boxplot for categorical data, Kit vs Coprobacillus
2022-01-19 12:05:25 INFO::Creating boxplot for categorical data, Kit vs Escherichia
2022-01-19 12:05:25 INFO::Creating boxplot for categorical data, Kit vs Intestinimonas
2022-01-19 12:05:26 INFO::Creating boxplot for categorical data, Kit vs Romboutsia
2022-01-19 12:05:26 INFO::Creating boxplot for categorical data, Kit vs Fusicatenibacter
2022-01-19 12:05:26 INFO::Creating boxplot for categorical data, Kit vs Bifidobacterium
2022-01-19 12:05:26 INFO::Creating boxplot for categorical data, Kit vs Blautia
2022-01-19 12:05:26 INFO::Creating boxplot for categorical data, Kit vs unclassified.Sutterellaceae
2022-01-19 12:05:27 INFO::Creating boxplot for categorical data, Kit vs unclassified.Firmicutes.sensu.stricto..miscellaneous.
2022-01-19 12:05:27 INFO::Creating boxplot for categorical data, Kit vs Mediterranea
2022-01-19 12:05:27 INFO::Creating boxplot for categorical data, Kit vs unclassified.Lentisphaeria
2022-01-19 12:05:27 INFO::Creating boxplot for categorical data, Kit vs Megamonas
2022-01-19 12:05:27 INFO::Creating boxplot for categorical data, Kit vs Lactobacillus
2022-01-19 12:05:28 INFO::Creating boxplot for categorical data, Kit vs Megamonas
2022-01-19 12:05:28 INFO::Creating boxplot for categorical data, Kit vs unclassified.Burkholderiales..miscellaneous.
2022-01-19 12:05:28 INFO::Creating boxplot for categorical data, Kit vs Guerin_crAss_Gamma
2022-01-19 12:05:28 INFO::Creating boxplot for categorical data, Kit vs Megasphaera
2022-01-19 12:05:29 INFO::Creating boxplot for categorical data, Kit vs Victivallis
2022-01-19 12:05:29 INFO::Creating boxplot for categorical data, Kit vs Barnesiella
2022-01-19 12:05:29 INFO::Creating boxplot for categorical data, Kit vs Parasutterella
2022-01-19 12:05:29 INFO::Creating boxplot for categorical data, Kit vs Parolsenella
2022-01-19 12:05:29 INFO::Creating boxplot for categorical data, Kit vs Escherichia
2022-01-19 12:05:29 INFO::Creating boxplot for categorical data, Kit vs Sutterella
2022-01-19 12:05:30 INFO::Creating boxplot for categorical data, Kit vs unclassified.Erysipelotrichaceae
2022-01-19 12:05:30 INFO::Creating boxplot for categorical data, Kit vs Klebsiella
2022-01-19 12:05:30 INFO::Creating boxplot for categorical data, Kit vs Flavonifractor
2022-01-19 12:05:30 INFO::Creating boxplot for categorical data, Kit vs Victivallis
2022-01-19 12:05:30 INFO::Creating boxplot for categorical data, Kit vs unclassified.Erysipelotrichaceae
2022-01-19 12:05:31 INFO::Creating boxplot for categorical data, Kit vs Anaeromassilibacillus
