feature,Comparison,Percent,p
Firmicutes: Streptococcus,ZH_ZF,"-48.0% [-58.1%, -35.5%] ***",< 0.001
Firmicutes: Anaerostipes,ZH_ZF,"-59.3% [-70.7%, -43.4%] ***",< 0.001
Firmicutes: Flavonifractor,ZH_ZF,"15.9% [4.9%, 28.1%] **",0.004
Firmicutes: Lachnoclostridium,ZH_ZF,"10.9% [3.6%, 18.7%] **",0.003
Firmicutes: Clostridiales: environmental samples,ZH_ZF,"11.4% [3.9%, 19.3%] **",0.002
Firmicutes: Coprobacillus,ZH_ZF,"-34.1% [-48.8%, -15.2%] ***",0.001
Firmicutes: Lachnospira,ZH_ZF,"-50.9% [-62.9%, -35.0%] ***",< 0.001
Firmicutes: Phascolarctobacterium,ZH_ZF,"17.9% [10.7%, 25.7%] ***",< 0.001
Firmicutes: Mitsuokella,ZH_ZF,"-4.0% [-15.3%, 8.8%]",0.52
Firmicutes: Anaerobutyricum,ZH_ZF,"-67.4% [-75.7%, -56.2%] ***",< 0.001
Firmicutes: Butyrivibrio,ZH_ZF,"-10.9% [-21.3%, 1.0%]",0.07
Firmicutes: unclassified Erysipelotrichaceae,ZH_ZF,"-11.0% [-23.1%, 2.9%]",0.12
Firmicutes: Fusicatenibacter,ZH_ZF,"-42.0% [-51.7%, -30.3%] ***",< 0.001
Firmicutes: Megasphaera,ZH_ZF,"3.6% [-12.7%, 23.1%]",0.68
Firmicutes: unclassified Clostridia,ZH_ZF,"5.3% [-2.3%, 13.4%]",0.18
Firmicutes: Intestinimonas,ZH_ZF,"17.5% [5.2%, 31.3%] **",0.004
Bacteroidetes: Bacteroides,ZH_ZF,"22.3% [15.9%, 28.9%] ***",< 0.001
Bacteroidetes: Alistipes,ZH_ZF,"36.8% [23.9%, 51.1%] ***",< 0.001
Bacteroidetes: Prevotella,ZH_ZF,"22.3% [8.8%, 37.5%] ***",0.001
Bacteroidetes: Parabacteroides,ZH_ZF,"25.5% [16.2%, 35.5%] ***",< 0.001
Bacteroidetes: Odoribacter,ZH_ZF,"22.2% [13.1%, 32.1%] ***",< 0.001
Bacteroidetes: unclassified Bacteroidaceae,ZH_ZF,"42.2% [20.5%, 67.8%] ***",< 0.001
Bacteroidetes: Butyricimonas,ZH_ZF,"21.7% [10.6%, 33.9%] ***",< 0.001
Bacteroidetes: Barnesiella,ZH_ZF,"44.3% [14.6%, 81.8%] **",0.002
Actinobacteria: Bifidobacterium,ZH_ZF,"-46.3% [-58.8%, -30.0%] ***",< 0.001
Actinobacteria: Collinsella,ZH_ZF,"-25.8% [-43.4%, -2.6%] *",0.031
Actinobacteria: Eggerthella,ZH_ZF,"-19.6% [-30.4%, -7.1%] **",0.003
Proteobacteria: Sutterella,ZH_ZF,"36.9% [16.7%, 60.8%] ***",< 0.001
Proteobacteria: Azospirillum,ZH_ZF,"19.8% [-29.5%, 103.4%]",0.51
Proteobacteria: Bilophila,ZH_ZF,"12.3% [0.7%, 25.2%] *",0.037
Verrucomicrobia: Akkermansia,ZH_ZF,"16.4% [4.7%, 29.5%] **",0.005
Lentisphaerae: unclassified Lentisphaeria,ZH_ZF,"29.4% [-3.8%, 74.1%]",0.09
null: crAss-like viruses,ZH_ZF,"80.9% [57.8%, 107.3%] ***",< 0.001
