Sample,Patient,Sample_Type,Replication,Relative.Abundance..Firmicutes,Relative.Abundance..Bacteroidetes,Relative.Abundance..Actinobacteria,Relative.Abundance..Other.Bacteria,Relative.Abundance..Viruses,Relative.Abundance..Fungi,Relative.Abundance..Unclassified...Root,Relative.Abundance..Unclassified,Ratio.of.Bacteroidetes.to.Firmicutes,Richness.0.01.,Richness.0.001.,Richness.0.0001.,Richness.0.00001.,Richness.Any.,Shannon.Entropy,Inv.Simpson,Firmicutes..Faecalibacterium,Firmicutes..unclassified.Clostridiales..miscellaneous.,Firmicutes..Firmicutes..environmental.samples,Firmicutes..unclassified.Ruminococcaceae,Firmicutes..Ruminococcus,Firmicutes..Clostridium,Firmicutes..Roseburia,Firmicutes..Oscillibacter,Firmicutes..Butyricicoccus,Firmicutes..Clostridiales..environmental.samples,Firmicutes..Coprococcus,Firmicutes..unclassified.Lachnospiraceae,Firmicutes..Megamonas,Firmicutes..Gemmiger,Firmicutes..Eubacterium,Firmicutes..unclassified.Oscillospiraceae,Firmicutes..unclassified.Firmicutes.sensu.stricto..miscellaneous.,Firmicutes..Subdoligranulum,Firmicutes..Flavonifractor,Firmicutes..Blautia,Firmicutes..Dialister,Firmicutes..Dorea,Firmicutes..Streptococcus,Firmicutes..Lachnoclostridium,Firmicutes..Megasphaera,Firmicutes..Neglecta,Firmicutes..Intestinimonas,Firmicutes..Lachnospiraceae..environmental.samples,Firmicutes..unclassified.Clostridiaceae,Firmicutes..Anaerotruncus,Firmicutes..Candidatus.Borkfalkia,Bacteroidetes..Bacteroides,Bacteroidetes..Alistipes,Bacteroidetes..Prevotella,Bacteroidetes..Parabacteroides,Bacteroidetes..Odoribacter,Bacteroidetes..Butyricimonas,Bacteroidetes..unclassified.Rikenellaceae,Bacteroidetes..Prevotellaceae..environmental.samples,Actinobacteria..Collinsella,Actinobacteria..Bifidobacterium,Actinobacteria..Enterorhabdus,Actinobacteria..Eggerthella,Proteobacteria..Azospirillum,Proteobacteria..Sutterella,Proteobacteria..Bilophila,Lentisphaerae..unclassified.Lentisphaeria,Basidiomycota..Malassezia,null..Tobamovirus,null..Viruses..environmental.samples,Verrucomicrobia..Akkermansia,RNAConcentration,RawReads,DeduplicatedReads,TrimmedReads,HostRemovedReads,OrphanReads,rRNARemovedReads
D02-ZF-R1,D02,ZF,R1,0.487602474,0.323218644,0.007964818,0.056319592,0.01339144,0.000856944,0.110399779,0.109602288,0.662873265,88,306,1009,2261,2573,2.652456207,6.361692995,0.082934866,0.171127767,0.025047133,0.026991378,0.085272465,0.032636732,0.016093377,0.014515547,0.004748308,0.011322926,0.004599339,0.014691777,6.3e-06,0.018290196,0.006079815,0.007558944,0.008774238,0.007794923,0.001111098,0.009298943,1.66e-05,0.0008304,0.003751052,0.00111433,2.93e-05,0.001613874,0.000422662,0.001134857,0.001363833,0.000652877,1.97e-05,0.329781266,0.026168898,0.000437317,0.007103094,0.009144209,0.008720901,0.001019669,0.000135877,0.000846132,0.000635367,0.003305977,0.001059268,1.07e-05,1.48e-05,0.0015649,3.39e-06,9.11e-05,0.00881567,0.0051005,1.85e-05,12,77731815,77731815,72408599,28433258,2551062,27388591
D02-ZF-R2,D02,ZF,R2,0.609543858,0.1681987,0.010456522,0.032800438,0.013226381,0.001465481,0.164019968,0.162928468,0.275941915,102,378,1228,2266,2559,2.94124497,9.582086776,0.096330269,0.209571116,0.032530677,0.035121464,0.098095665,0.067885158,0.023080968,0.015167173,0.006605465,0.011710892,0.007328233,0.026466102,0.000492855,0.026942313,0.007672585,0.008610087,0.011669497,0.00967531,0.001544538,0.011173365,4.91e-05,0.001211828,0.005986788,0.002133032,3.19e-05,0.002721785,0.00053951,0.001701579,0.002388903,0.001090145,3.23e-05,0.17670911,0.014539095,0.00049527,0.004326,0.004176117,0.005093784,0.000501824,0.000110213,0.001175091,0.000875238,0.004686909,0.001927611,1.65e-05,2.71e-05,0.002030925,7.93e-06,0.000137378,0.007996326,0.005502729,1.82e-05,9.36,59695377,59695377,51463213,19271108,5191591,18338893
D02-ZF-R3,D02,ZF,R3,0.486089713,0.313682295,0.010149183,0.042734515,0.026570507,0.000929713,0.119618025,0.118508657,0.6453177,95,325,1053,2358,2358,2.777932742,6.749018571,0.063879034,0.146050056,0.030162548,0.024605465,0.067201598,0.055525893,0.021223356,0.013877047,0.007623983,0.009877567,0.005750576,0.021480604,8.29e-06,0.014461613,0.00641858,0.008250886,0.009615862,0.007649361,0.001055857,0.008986483,1.78e-05,0.000890094,0.005022903,0.00160056,2.71e-05,0.002814257,0.000356161,0.001364604,0.001969967,0.001142267,3.7e-05,0.332399209,0.024870265,0.000353562,0.007808934,0.006930601,0.006983214,0.000856793,0.00012132,0.000602268,0.000883285,0.005346135,0.001200203,1.34e-05,1.5e-05,0.001636832,5.32e-06,0.000115873,0.017111221,0.010894428,2.23e-05,52.4,33447732,33447732,32023238,12459327,1006894,12027075
D02-ZH-R1,D02,ZH,R1,0.20645376,0.672284424,0.001793117,0.067577216,0.013308436,0.001515838,0.036995323,0.032661919,3.256343814,73,219,750,1666,2052,1.427895885,1.85033971,0.036831316,0.063183783,0.004933085,0.007068194,0.018803689,0.008864325,0.002973324,0.007720078,0.002082345,0.004321511,0.00032585,0.002236343,1.02e-05,0.000551938,0.003307518,0.002837119,0.001914175,0.000407573,0.001200079,0.00068164,3.93e-05,0.000158231,0.000359778,0.000307014,3.8e-06,3.87e-05,0.000233328,0.000201854,0.000356956,0.000186393,1.21e-05,0.730459099,0.018949895,0.001166702,0.016171063,0.007758669,0.010505046,0.00055746,0.000132831,3.8e-05,0.000215413,0.000114425,0.000111234,7.91e-06,2.18e-05,0.002914118,0,0.000316463,0.006044078,0.003319175,9.93e-05,29.8,111170502,111170502,87027618,25552404,17456579,22047984
D02-ZH-R2,D02,ZH,R2,0.219621407,0.588711036,0.006065483,0.087625925,0.023506975,0.014888581,0.059508131,0.054483376,2.680572196,130,474,1313,1650,1650,1.809868155,2.175062755,0.032864897,0.066056454,0.005561948,0.010254149,0.018563801,0.008799641,0.003131495,0.008143633,0.003069658,0.00348504,0.000309856,0.002349125,1.75e-05,0.000700369,0.003909831,0.003561663,0.001943153,0.000306495,0.001366458,0.000476546,1.68e-05,0.000123674,0.000444956,0.000455038,6.72e-07,4.17e-05,0.000217773,0.000198953,0.000437562,0.000332037,4.7e-06,0.672434514,0.020437724,0.000976618,0.014270178,0.008638328,0.019794487,0.000571318,0.000139133,1.41e-05,0.000223822,8.33e-05,4.5e-05,7.46e-05,2.49e-05,0.00312679,7.39e-06,0.0021495,0.008156404,0.00521378,2.89e-05,35.4,62544233,62544233,14872288,3994794,27009266,2226265
D02-ZH-R3,D02,ZH,R3,0.228839185,0.632364472,0.002512547,0.066920893,0.013611566,0.003783249,0.051908964,0.048384652,2.76335747,86,271,1031,1920,1920,1.605358396,2.048685461,0.033481967,0.082261074,0.008864021,0.008969902,0.024393472,0.009417804,0.003351436,0.008474283,0.002514317,0.0048928,0.000616476,0.003646961,2.09e-06,0.001987526,0.003281603,0.003071235,0.003156567,0.001101124,0.001192899,0.001374359,6.97e-07,0.000156731,0.000871774,0.000423,3.66e-06,0.000123121,0.000266791,0.000279852,0.000343241,0.000175539,1.08e-05,0.691705697,0.01557142,0.0011774,0.015987455,0.007563848,0.009412754,0.000502411,0.000153597,7.66e-05,0.000152029,0.000553261,0.000400013,1.53e-05,1.36e-05,0.002635871,2.09e-06,0.000119638,0.006255839,0.003490404,1.31e-05,34.8,61475055,61475055,38494456,9919995,23714622,7855718
D02-ZR-R1,D02,ZR,R1,0.355127378,0.471234311,0.006566543,0.057491824,0.034215009,0.000704038,0.074528045,0.073246968,1.326944473,87,267,919,2205,2557,2.429329666,4.130845472,0.065064696,0.093817294,0.016741822,0.020728385,0.030180611,0.027612413,0.015607009,0.011528523,0.005198445,0.007643969,0.00450006,0.017399809,2.69e-06,0.019781474,0.006581729,0.006064889,0.007159578,0.006732358,0.001060869,0.006233332,1.26e-05,0.001237041,0.002594399,0.001130702,1.11e-05,0.00111519,0.000375256,0.000796008,0.001890368,0.000419984,4.6e-05,0.47160013,0.044256776,0.000391755,0.010570156,0.008053264,0.008012812,0.001105268,0.000149971,0.000347794,0.00038737,0.003092054,0.000905252,9.54e-06,2.1e-05,0.0026633,3.45e-06,2.12e-05,0.01791928,0.016281111,3.13e-05,9.3,72263661,72263661,66752719,29189425,5410494,26426032
D02-ZR-R2,D02,ZR,R2,0.347995459,0.428413851,0.010879689,0.067993163,0.044842943,0.001430617,0.09824364,0.097144795,1.231090352,103,340,1115,2260,2603,2.593886023,4.759796597,0.046724232,0.100555087,0.019344385,0.02191479,0.023019806,0.042112202,0.021348889,0.013881974,0.007553723,0.007776776,0.003689145,0.016824741,4.88e-06,0.009139733,0.004262238,0.005268293,0.008325646,0.004110284,0.001073186,0.004118551,1.38e-05,0.000782754,0.001427443,0.001226132,1.57e-05,0.00199293,0.00034293,0.001004898,0.001702911,0.000581113,0.000104086,0.434385344,0.055397768,0.000378314,0.010210687,0.008041249,0.009875611,0.001372465,0.000202468,0.000292086,0.000341194,0.007957087,0.00112122,1.27e-05,2.21e-05,0.003646733,6.2e-06,0.000129632,0.028119362,0.018134787,4.22e-05,15.9,75031843,75031843,64403851,22162126,8855891,19577660
D02-ZR-R3,D02,ZR,R3,0.547413504,0.232745669,0.014006868,0.046028979,0.019511334,0.001308166,0.138637513,0.137500847,0.425173415,100,357,1157,2366,2663,2.994856448,9.100875318,0.05585954,0.195477807,0.030572923,0.030378922,0.062994699,0.062190557,0.02047088,0.020163068,0.005915471,0.01361863,0.006517554,0.024957205,9.78e-06,0.026561526,0.007096584,0.00717968,0.011598234,0.011234805,0.001330395,0.010968607,2.42e-05,0.001755585,0.00300295,0.001711593,2.54e-05,0.0025339,0.000613378,0.001567859,0.002349741,0.000620116,4.5e-05,0.233643446,0.023977624,0.000283504,0.005485525,0.017146709,0.009838488,0.000709553,0.000111499,0.000918482,0.000541181,0.007597208,0.002437659,1.9e-05,4e-05,0.00290083,5.48e-06,6.64e-05,0.008023917,0.008941804,2.48e-05,4.8,63850589,63850589,56319567,24599609,5312017,23365022
D03-NF-R1,D03,NF,R1,0.61163016,0.157873956,0.075840995,0.035673944,0.000203603,0.003954848,0.113910787,0.112275672,0.258119966,156,613,1566,2120,2120,2.960568892,7.380162893,0.323511014,0.075082279,0.013778671,0.060884735,0.015074529,0.032288221,0.011586535,0.039839056,0.012271251,0.00936072,0.010403815,0.00795532,0.01524162,0.005638275,0.002420701,0.00352854,0.006775216,0.006033932,0.004345686,0.008531148,0.006116006,0.004100118,0.003705769,0.001193838,5.79e-05,0.000345955,0.000607219,0.001580012,0.001573472,0.001128767,1.31e-05,0.031769943,0.028176986,0.114319347,0.002010003,3.6e-05,9.48e-06,0.000177555,0.001930544,0.036542024,0.032639408,0.000601987,0.001217381,4.48e-05,0.005962975,0.002179056,8.83e-06,0.001249099,4.68e-05,0.000161533,0.001204628,340,56644015,56644015,37624659,14432845,7208184,4931255
D03-NF-R2,D03,NF,R2,0.552222677,0.228194714,0.056956172,0.037253846,0.001036293,0.005838856,0.117884986,0.115966069,0.413229525,154,647,1584,1972,1972,3.030617938,8.688206984,0.249396108,0.080870219,0.013340281,0.060003075,0.014593334,0.039428054,0.012811555,0.033453201,0.01370159,0.008861062,0.007921486,0.010671883,0.029460854,0.004196491,0.003058749,0.003669474,0.007003263,0.005017339,0.003599433,0.010179032,0.006811931,0.004139262,0.004626988,0.001443531,5.12e-05,0.000341664,0.000606454,0.00172455,0.001390573,0.001035243,9.4e-06,0.028585339,0.027808053,0.187094487,0.002204589,6.24e-05,9.4e-06,0.000202436,0.00305277,0.026613082,0.022683943,0.000429643,0.001164221,7.94e-05,0.004440781,0.002561628,2.65e-05,0.002776022,0.00128722,0.00014777,0.002225943,184,44883868,44883868,8275962,2928669,9975928,1871013
D03-NF-R3,D03,NF,R3,0.586233916,0.185617464,0.074881549,0.034980243,0.000192246,0.006266398,0.111156859,0.109499941,0.316626962,160,629,1681,2231,2231,3.046622203,8.527676894,0.273526323,0.080091559,0.016056437,0.060768433,0.01506378,0.036682314,0.014068781,0.032789871,0.016194647,0.009918951,0.010096985,0.009473866,0.014900095,0.005437942,0.002782659,0.003329938,0.007287972,0.006039977,0.003526126,0.010759927,0.005684788,0.004379987,0.006254907,0.001339354,6.82e-05,0.000368659,0.00059208,0.001639786,0.00147815,0.001012568,7.03e-06,0.020717822,0.028539896,0.156614825,0.00161519,4.1e-05,3.22e-06,0.000180669,0.002559238,0.038726191,0.027137,0.000613749,0.001878727,3.98e-05,0.003934316,0.002223375,1.29e-05,0.003830658,1.79e-05,0.000127962,0.002349872,264,58645703,58645703,38133706,14975197,13865646,5414609
D03-OF-R1,D03,OF,R1,0.582666829,0.229447665,0.081776575,0.029587404,0.000105871,0.002940637,0.072669339,0.071616659,0.39378879,118,457,1423,2415,2415,2.803851387,7.4932748,0.113693438,0.019791281,0.005824956,0.049386999,0.013655043,0.0320936,0.012328951,0.010977431,0.016926445,0.004085338,0.007366644,0.010361827,0.28595548,0.004835974,0.005459073,0.001272026,0.003438418,0.004373602,0.00161382,0.01162047,0.019567789,0.009370035,0.010055764,0.000878976,4.68e-05,0.000139849,0.000283446,0.001150511,0.001476648,0.000502521,7.63e-06,0.032812786,0.015300982,0.170464879,0.001473034,3.47e-05,6.02e-06,4.62e-05,0.002480351,0.043420587,0.028820324,0.000380336,0.001041041,2.06e-05,0.004208593,0.002002053,7.63e-06,0.000281974,1.98e-05,3.31e-05,0.000782621,98.2,58097043,58097043,43119142,14209527,13115114,10989685
D03-OF-R2,D03,OF,R2,0.532535648,0.234024435,0.089806337,0.036133512,0.000167286,0.004717168,0.101926183,0.100319176,0.439453087,145,574,1579,2361,2361,3.08503696,10.13751705,0.078569917,0.023659995,0.011086773,0.048708692,0.018521875,0.037928246,0.012929495,0.015633882,0.02144911,0.00394468,0.008683006,0.010849892,0.238123744,0.002329326,0.004832745,0.001829403,0.00406645,0.002291511,0.002080554,0.012141558,0.010447005,0.011441856,0.010017718,0.001178457,8.42e-05,0.000182893,0.000418109,0.001498341,0.001112578,0.000588158,1.26e-05,0.079970033,0.036470099,0.133548096,0.00170145,4.78e-05,8.32e-06,0.000132948,0.002467744,0.048673255,0.035921896,0.000541305,0.00171572,3e-05,0.0052304,0.002016101,9.04e-06,0.000587921,4.85e-05,9.66e-05,0.000685432,72.4,62168179,62168179,28855305,9290733,16715875,6758765
D03-OF-R3,D03,OF,R3,0.569697048,0.206904898,0.075546281,0.032771203,0.000125476,0.002420263,0.110838076,0.109556454,0.36318408,131,532,1449,2348,2628,3.068262766,10.29339975,0.108941658,0.031157753,0.012871572,0.051547367,0.018470373,0.042515609,0.010026147,0.018336053,0.023748667,0.005154328,0.007120021,0.011626686,0.224101662,0.003639093,0.005370913,0.002036558,0.004348216,0.003528141,0.002070756,0.013337608,0.004543902,0.014032578,0.015607944,0.001018612,7.77e-05,0.00027947,0.000403341,0.001431927,0.000971495,0.000746551,8.93e-06,0.050577392,0.026153039,0.145586215,0.001641387,6.54e-05,9.5e-06,0.000104587,0.002455573,0.03965831,0.032808354,0.000389567,0.001137638,3.13e-05,0.004520534,0.00304624,1.21e-05,0.000506218,4.27e-06,4.4e-05,0.00124327,108,67840056,67840056,53851154,19516544,5251407,16102690
D03-OR-R1,D03,OR,R1,0.32837652,0.354998781,0.147478989,0.065625028,0.000682585,0.01257369,0.088003908,0.085783001,1.081072365,202,771,1514,1757,1757,3.011625464,6.471602749,0.073382524,0.027782336,0.007697222,0.027812609,0.006193946,0.041651198,0.032313676,0.017222754,0.003537918,0.003457457,0.004011128,0.004225426,0.003815152,0.003256701,0.002133426,0.002041811,0.002924498,0.003945802,0.000719374,0.003832678,0.003443914,0.004187187,0.005226017,0.00074168,3.51e-05,0.000129057,0.000207129,0.001196567,0.000779919,0.00016411,1.99e-05,0.045694192,0.052908645,0.361912053,0.003874901,5.82e-05,1.35e-05,0.00044692,0.006076838,0.077388871,0.045023414,0.000308303,0.000631743,8.13e-05,0.012652379,0.001929484,4.78e-06,0.00479025,0.000448513,0.000256521,0.002628942,6.44,38906989,38906989,13843398,3195203,9893788,2149246
D03-OR-R2,D03,OR,R2,0.368904992,0.277772609,0.117196409,0.086507048,0.002038869,0.028565429,0.117866285,0.114301588,0.752965167,235,849,1305,1305,1305,3.477349989,10.56524363,0.092844918,0.030160692,0.010815822,0.030522012,0.007991823,0.057891984,0.025339926,0.021907388,0.00509651,0.003622706,0.005405534,0.00935628,0.005357992,0.002985642,0.002253494,0.003175811,0.003941238,0.003736807,0.000984121,0.004221736,0.005914234,0.003779595,0.006541789,0.001174289,4.28e-05,9.03e-05,0.000304269,0.001226586,0.000998384,0.000171151,0,0.054830275,0.064980508,0.260792051,0.003822383,0.000185414,3.8e-05,0.000732148,0.004036322,0.046809927,0.030369877,0.000793953,0.000898545,0.000190168,0.010573357,0.002301036,4.75e-06,0.019896358,0.001849387,0.000846249,0.001687744,13.3,47323762,47323762,6928003,738410,12548173,388721
D03-OR-R3,D03,OR,R3,0.312540839,0.329649489,0.158229834,0.066257667,0.000555651,0.023385335,0.108525752,0.10573169,1.054740526,216,871,1475,1780,1780,3.218638531,8.605122438,0.083272635,0.031750057,0.014080118,0.034509265,0.009550574,0.033427011,0.011491948,0.017956967,0.005812325,0.004629807,0.00512326,0.003984976,0.00418452,0.003385362,0.002067194,0.002458418,0.003156329,0.003780518,0.000882711,0.005306093,0.003121925,0.005355242,0.005426999,0.00065761,5.7e-05,0.000225101,0.000387292,0.001046867,0.000620257,0.000200527,1.97e-06,0.056204482,0.072943545,0.29365166,0.004387996,8.06e-05,9.83e-07,0.00103114,0.004750713,0.08843718,0.04390453,0.000368615,0.000634018,5.7e-05,0.009710799,0.002748395,1.77e-05,0.015159424,6.78e-05,0.000365666,0.003009866,14.4,55617514,55617514,12939674,3253875,19448642,1763465
D03-ZF-R1,D03,ZF,R1,0.50029468,0.314107731,0.024196995,0.033942044,0.000215436,0.001512355,0.124084201,0.123282013,0.627845434,119,474,1432,2525,2713,3.055936016,11.46083616,0.14495001,0.085378635,0.018692696,0.075590857,0.022503667,0.072909108,0.009433533,0.031676801,0.006370492,0.010593043,0.014270936,0.013486085,0.014327037,0.004816731,0.008850307,0.004343804,0.007589497,0.005011568,0.001687406,0.007985804,0.013924199,0.003988634,0.003363911,0.001183832,5.45e-05,0.000284208,0.000476114,0.001965032,0.001699953,0.000394045,1.55e-05,0.097705621,0.054561555,0.178553688,0.005456469,0.000136371,7.25e-06,0.000340464,0.003376303,0.012872983,0.005831283,0.000395639,0.000620661,2.52e-05,0.007945592,0.000696868,2.17e-05,6.13e-05,3.6e-06,2.15e-05,0.000485936,17.4,78581012,78581012,74134623,33173032,2887322,31520359
D03-ZF-R2,D03,ZF,R2,0.442047667,0.390727484,0.035302916,0.040909594,0.000367274,0.001727496,0.088007515,0.0871399,0.883903509,112,431,1327,2128,2128,2.829935253,8.262736721,0.193386809,0.038916169,0.007947832,0.068435359,0.018449881,0.030741743,0.00657742,0.014748436,0.004641298,0.004163002,0.009365051,0.011387036,0.049832348,0.004990333,0.014441558,0.001689379,0.004493439,0.005221267,0.000652193,0.008842738,0.017194781,0.003935479,0.003177583,0.000597017,3.69e-05,0.000102603,0.000204275,0.001459376,0.00098294,0.000175757,1.15e-05,0.100646087,0.036365361,0.245444488,0.00405792,9.92e-05,6.82e-06,0.00013701,0.00587129,0.018129674,0.009571806,0.000323307,0.000601357,1.7e-05,0.014365613,0.00027712,5.58e-06,0.000433349,4.99e-05,4.96e-05,0.000199316,13,38399136,38399136,15920618,5767981,12116859,5128736
D03-ZF-R3,D03,ZF,R3,0.450233897,0.374663707,0.027425614,0.039760219,0.000398235,0.00139547,0.105380126,0.104679382,0.832153487,112,433,1317,2511,2511,2.891284802,9.268812126,0.173756733,0.052724249,0.007980836,0.077021931,0.021270577,0.031570548,0.008874834,0.016998519,0.005457815,0.005914824,0.01052918,0.012939869,0.032588349,0.004985655,0.018004091,0.002264918,0.006443367,0.005539629,0.000686326,0.00851046,0.02326051,0.003941449,0.002592064,0.000541853,5.34e-05,0.00013733,0.0002844,0.001583462,0.001368972,0.000219685,1.26e-05,0.104915843,0.053350621,0.224224072,0.005677175,9.27e-05,4.44e-06,0.000291326,0.003782367,0.014611313,0.008132451,0.00025399,0.000595205,1.54e-05,0.012824724,0.000257562,1.15e-05,9.95e-05,6.82e-06,2.4e-05,0.000198257,9.58,37768649,37768649,34562553,14693542,2179742,14227243
D03-ZH-R1,D03,ZH,R1,0.153995306,0.728636252,0.005631187,0.046068053,0.001395606,0.001948134,0.062154486,0.061208371,4.731548467,84,348,1017,2012,2012,2.057021754,3.968894433,0.036066469,0.023531272,0.002707755,0.023921465,0.0076292,0.023035138,0.002198607,0.017273465,0.000524596,0.002483467,0.002270248,0.002280951,0.003791247,0.001053813,0.004866224,0.001491443,0.002510105,0.000988376,0.000549165,0.001478185,0.001141023,0.000437629,0.000765304,0.000369151,1.41e-05,8.55e-05,0.00031539,0.000371948,0.000336797,0.000155202,3.43e-05,0.298625932,0.080611854,0.390536722,0.014734047,0.000248128,9.61e-06,0.000465118,0.008793819,0.00131155,0.000902017,4.65e-05,0.000118347,2.27e-05,0.006830812,0.000974631,4.5e-06,0.000897031,1.74e-05,3.89e-05,0.00238969,24.8,61770743,61770743,43719244,13792242,12325238,13055615
D03-ZH-R2,D03,ZH,R2,0.139177486,0.758283328,0.003948088,0.042357439,0.001161902,0.003662855,0.051370445,0.05045319,5.448318892,87,353,1300,2085,2085,1.834547292,2.675974735,0.054087563,0.012984371,0.001143782,0.021961278,0.005595855,0.011702898,0.004205755,0.007726765,0.000408126,0.001284977,0.002128849,0.005275744,0.018581669,0.001543663,0.004010555,0.000526029,0.001567161,0.001758444,0.000222614,0.002076081,0.001373611,0.000403591,0.000559008,0.000270435,6.6e-06,3.52e-05,0.000187161,0.000378444,0.000369374,6.35e-05,3.71e-06,0.148919457,0.032207085,0.58813781,0.006218144,7.42e-05,9.07e-06,0.000127797,0.01452185,0.000905709,0.000586835,1.79e-05,5.15e-05,1.13e-05,0.005983574,0.000260335,2.06e-07,0.001133064,1.92e-05,0.000108215,0.00021643,38.8,72082772,72082772,34893593,9624396,16418420,9009376
D03-ZH-R3,D03,ZH,R3,0.134885221,0.73999362,0.021976044,0.043580071,0.003094382,0.00313729,0.053275239,0.052375148,5.486098586,91,318,1131,2233,2233,1.918048609,2.847097688,0.052965863,0.008333003,0.001233278,0.009700037,0.006946911,0.009169037,0.005548509,0.005218499,0.000535024,0.000686772,0.001728294,0.004849308,0.02445558,0.000857104,0.005527085,0.000466134,0.001024003,0.00070074,0.00035037,0.001702963,0.000750691,0.000567102,0.000594563,0.000331549,6.64e-05,2.76e-05,0.000156246,0.000293198,0.000391207,8.53e-05,1.15e-05,0.143532924,0.040375985,0.569220599,0.006080811,0.000305272,0.000173409,0.000222177,0.012709312,0.001439712,0.029387155,7.63e-05,0.000187732,0.000603204,0.006247,0.000502118,0.000109372,0.002006578,0.002073811,0.000157548,0.000181695,22.8,82556405,82556405,58394677,15187673,13581168,14258366
D03-ZR-R1,D03,ZR,R1,0.22298998,0.588450839,0.007713066,0.068074058,0.000729021,0.001129399,0.110681115,0.109886453,2.638911573,106,432,1192,2034,2349,2.48946724,5.78834877,0.086201025,0.026216838,0.003288104,0.042197345,0.023435345,0.019568429,0.006070621,0.010351804,0.00087462,0.003174253,0.002992211,0.012335061,0.011316122,0.002720727,0.007263579,0.000811038,0.002965242,0.002773471,0.000399246,0.003076618,0.003035054,0.000822047,0.000561061,0.000365364,5.81e-05,6.37e-05,0.000153792,0.001768699,0.000532556,0.000177519,2.27e-05,0.224032968,0.080827506,0.321435923,0.009979613,0.000238028,4.69e-06,0.000385249,0.008457306,0.004803412,0.001542619,9.46e-05,0.000213876,7.17e-06,0.033154057,0.000920707,4.95e-06,9.92e-05,3.58e-05,4.8e-05,0.000188101,15,56758293,56758293,49962105,21204503,4727599,20723391
D03-ZR-R2,D03,ZR,R2,0.308595563,0.487544081,0.01843538,0.047819506,0.000494943,0.001689976,0.134747846,0.133882816,1.579880397,118,451,1351,2293,2293,2.762273845,7.263734452,0.059000917,0.041129307,0.007551809,0.076398072,0.026551227,0.056994909,0.005586621,0.019758057,0.002275915,0.004574806,0.00804924,0.007591737,0.013811635,0.004289508,0.022122305,0.002217919,0.006280794,0.003609388,0.000730755,0.006326745,0.005933484,0.002177321,0.001745694,0.000645322,7.54e-05,0.000173989,0.000310058,0.001806144,0.000685251,0.000273922,1.78e-05,0.177106476,0.053080817,0.294189736,0.006500734,0.000240908,4.91e-06,0.000238901,0.008854722,0.009546664,0.002023853,0.000499885,0.000451034,3.08e-05,0.016361248,0.000890915,7.14e-06,0.000270353,4.95e-05,6.91e-05,0.000652906,8.34,50590516,50590516,21164832,8705795,10294557,8188230
D03-ZR-R3,D03,ZR,R3,0.432481259,0.399551546,0.027508668,0.042788377,0.000439855,0.001525637,0.095185511,0.094408715,0.923858635,118,445,1397,2463,2732,2.942181543,9.706617357,0.159181119,0.054614823,0.009290821,0.074248776,0.020584979,0.043346274,0.008334531,0.028931898,0.005010783,0.006711296,0.010614954,0.010743388,0.023285236,0.005202503,0.017519575,0.003460654,0.006172593,0.005370475,0.001108986,0.009200192,0.012660397,0.00422516,0.001716239,0.000591784,4.35e-05,0.000151797,0.00040751,0.001493967,0.0011224,0.000260141,1.17e-05,0.111159877,0.056080613,0.219762438,0.006413093,0.000135815,6.29e-06,0.000327985,0.004470475,0.015638831,0.007172272,0.000454493,0.000762131,1.46e-05,0.01405584,0.000950385,9.37e-06,0.000310783,3.15e-06,4.24e-05,0.000688639,8.86,70536847,70536847,63667391,26123633,4570142,25459745
D04-NF-R1,D04,NF,R1,0.511684265,0.072176891,0.021813518,0.023722398,0.120934926,0.004202032,0.2451434,0.244197543,0.141057476,133,570,1774,2620,2620,3.115915528,11.8667665,0.059596682,0.109031627,0.026738775,0.047168468,0.022755738,0.118306858,0.011843891,0.077693983,0.002316247,0.038314888,0.022514015,0.007541637,2.15e-05,0.003727729,0.00906101,0.036471065,0.015559039,0.002134537,0.002095233,0.002885205,0.000423434,0.005792343,0.000222795,0.001075007,8.34e-05,0.000119247,0.008668975,0.002436719,0.000830834,0.000389697,2.02e-05,0.025541626,0.011595821,0.045977999,0.005730883,0.001153948,0.000270672,0.000222684,0.001156064,0.002104697,0.018311078,8.63e-05,0.000178258,8.83e-05,0.000520412,0.002926735,0.003501705,0.000357408,0.195005333,0.000126707,8.96e-05,154,66666805,66666805,53713867,18542707,4309013,15248485
D04-NF-R2,D04,NF,R2,0.559488635,0.085690727,0.016974423,0.024318096,0.100572799,0.003803158,0.208891939,0.20785488,0.153159012,131,564,1729,2569,2743,3.11232967,12.72205441,0.065569008,0.120401032,0.026741445,0.05565468,0.021193406,0.127639258,0.008604593,0.087367155,0.002377141,0.042018116,0.016479153,0.009231413,2.19e-05,0.002743594,0.006481986,0.040391202,0.016668797,0.002066603,0.002164611,0.002594966,0.000484834,0.005906683,0.000124754,0.001034917,0.000113625,0.00014414,0.008880936,0.002466264,0.000920574,0.000396968,4.11e-05,0.028952457,0.01198847,0.053174146,0.007126128,0.000919856,0.000142883,0.000204542,0.001411242,0.001888089,0.011406884,6.69e-05,0.000130767,9.97e-05,0.001037789,0.002361524,0.002090656,0.000379467,0.152594661,0.000145845,0.000134178,196,71063854,71063854,52928427,20345119,6974571,17896093
